22_M139-15_IntMac	23_M139-15_AlvMac	26_M163-10_IntMac	27_M163-10_AlvMac	30_M59-16_IntMac	31_M59-16_AlvMac
ENSMMUG00000023296	0.943968240720462	1.12212760390064	1.07347549415209	1.1565422262049	1.06471307784362	1.00505895919898
ZNF692	6.94383148074841	7.25718983129181	7.21540124275427	6.80937816559273	7.34871729963806	7.13033375320183
ZNF672	8.30762390955151	7.66599670372131	7.85271526763608	7.31546844465589	8.29280903766826	7.34104313227436
SH3BP5L	8.72068040836615	8.17185898726634	9.04034510508352	8.11118353880429	8.98576746142278	8.67664632074171
ENSMMUG00000064799	0	0	0	0	0	0
LYPD8	-1.9583338519287	-1.97651392284458	-1.97345269159784	-1.97470467937813	-1.97413134287769	-1.9744518070687
ENSMMUG00000031200	0.93424518635457	1.16047556618657	0.780335408397676	0.778602722428184	0.845846701215792	0.843387942380722
ENSMMUG00000052613	1.51174277593263	1.67976552097989	2.10880639677765	2.05288787249148	1.51679858131427	1.51583713550507
OR2T27	0	0	0	0	0	0
ENSMMUG00000053841	0	0	0	0	0	0
OR2T10	0	0	0	0	0	0
ENSMMUG00000017368	0	0	0	0	0	0
OR14I1	0	0	0	0	0	0
OR9G1	0	0	0	0	0	0
ENSMMUG00000049901	0	0	0	0	0	0
ENSMMUG00000064657	0	0	0	0	0	0
OR2T1	0	0	0	0	0	0
OR2T6	0	0	0	0	0	0
ENSMMUG00000039595	0	0	0	0	0	0
OR2M4	0	0	0	0	0	0
ENSMMUG00000049432	0.564244066729771	0.700081156147666	0.748073862626353	0.774280907516946	0.565865511922026	0.5655553834074
ENSMMUG00000050812	0	0	0	0	0	0
ENSMMUG00000059065	0	0	0	0	0	0
ENSMMUG00000053957	0	0	0	0	0	0
OR2L2	-1.00937017686322	-1.00953658656168	-0.945890604466879	-0.895934690142777	-1.00655716092241	-1.00762147419524
OR2L5	0.222131845359963	0.221657935587501	0.362726631595707	0.548281651361165	0.223730146152283	0.223425045424544
ENSMMUG00000052261	-1.5075578571788	-1.50896841735066	-1.45977175704673	-1.50465791028757	-1.50329194098578	-1.46215214109886
ENSMMUG00000060886	0	0	0	0	0	0
ENSMMUG00000062168	-0.58539688254132	-0.585604803674971	-0.520479967608338	-0.528447378578584	-0.584692817535839	-0.472964556630848
ENSMMUG00000056262	2.53960472344056	3.46249126156577	3.481721761063	4.11228331117076	2.55911178717288	2.89233781204807
OR2W3	-1.50669398068399	-1.50803072390952	-1.5011190401271	-1.50394579280904	-1.50265130693963	-1.42395398687658
TRIM58	4.18761868854738	6.66367848772991	6.55054668580401	7.08002040551366	3.5040598190145	6.87825097564373
OR11L1	0.528289219690063	0.527600766566301	0.531579533782781	0.662150440154616	0.530604715774092	1.0187549315497
ENSMMUG00000056211	0	0	0	0	0	0
OR9H1P	0	0	0	0	0	0
OR1C1	-1.05465966286874	-1.00902593466967	-1.04944024699778	-1.05326721495958	-1.05151468953319	-0.945211156340342
OR14K1	0	0	0	0	0	0
OR14A2	-0.430549017654228	-0.339903562442809	-0.429447588680823	-0.32157749033248	-0.429775630419275	-0.372391801690094
OR6F1	0	0	0	0	0	0
OR13G1	-1.50628410110244	-1.50758582366793	-1.50085521559504	-1.42626775091325	-1.50234733932392	-1.50305193126657
